"Timestamp","Qual é a sua idade?","Qual é seu gênero?","Escolaridade","Qual sua ocupação?","Qual é sua renda familiar?","Quantas vezes você já pegou dengue?","Algum familiar já pegou dengue?","Em qual estado você mora?","Em qual cidade?","Em qual bairro?","Você mora em:","Quantas pessoas moram com você?","De qual das fontes abaixo você mais obtém informação sobre a dengue?","A dengue é causada por um(a):","Quais as formas de contágio?","Quais são os principais sintomas da dengue?","Quais as principais formas de prevenir o contágio?","Quais das ações abaixo são formas de combater o Aedes Aegypti?","Se você já contraiu dengue, como você avalia o tratamento recebido? ","Como é o saneamento básico na sua região?","Você acredita que o governo está fazendo o suficiente para combater a dengue em sua região? ","Com que frequência você realiza ações para prevenir a proliferação do mosquito Aedes Aegypti em sua residência?","Quão preocupado você está com a possibilidade de contrair dengue?","Havendo uma vacina disponível gratuitamente no SUS, você..."
"2024/03/14 7:58:03 PM GMT-3","30","Masculino","Superior completo","Trabalho","11 ou mais salários mínimos","Nenhuma","Sim","SC","Joinville","Atiradores","Apartamento","3","Profissionais de saúde","Vírus","Picada do mosquito Aedes Aegypt","Febre;Dores no corpo","Usar repelente;Tomar uma vacina","Não deixar água parada em garrafas, vasos de planta e pneus;Manter lixeiras tampadas e protegidas da chuva;Retirar água de plantas que acumulam água, como as bromélias;Limpar as calhas;Descartar adequadamente objetos que acumulam água","Nunca tive dengue","5","1","Sempre","Pouco preocupado","Certamente tomaria"
"2024/03/14 8:00:25 PM GMT-3","42 anos","Feminino","Médio completo","Trabalho","4 a 6 salários mínimos","Nenhuma","Sim","Santa Catarina ","Joinville ","Iririu","Casa","3","Profissionais de saúde","Vírus","Picada do mosquito Aedes Aegypt","Febre;Dores no corpo;Manchas pelo corpo","Usar repelente","Não deixar água parada em garrafas, vasos de planta e pneus;Manter lixeiras tampadas e protegidas da chuva;Retirar água de plantas que acumulam água, como as bromélias;Limpar as calhas;Descartar adequadamente objetos que acumulam água","Nunca tive dengue","3","1","Sempre","Muito preocupado","Não tomaria"
"2024/03/14 8:00:50 PM GMT-3","57","Masculino","Superior completo","Trabalho","4 a 6 salários mínimos","Nenhuma","Sim","SC","Joinville ","Iririu","Apartamento","1","Internet (redes sociais, sites oficiais)","Vírus","Picada do mosquito Aedes Aegypt","Febre;Dores no corpo","Usar repelente","Não deixar água parada em garrafas, vasos de planta e pneus;Manter lixeiras tampadas e protegidas da chuva;Retirar água de plantas que acumulam água, como as bromélias;Limpar as calhas;Descartar adequadamente objetos que acumulam água","Nunca tive dengue","3","3","Às vezes","Moderadamente preocupado","Não tomaria"
"2024/03/14 8:04:09 PM GMT-3","28","Feminino","Superior completo","Trabalho","7 a 10 salários mínimos","Nenhuma","Sim","Santa Catarina ","Joinville ","Aventureiro ","Casa","2","Internet (redes sociais, sites oficiais)","Vírus","Picada do mosquito Aedes Aegypt","Febre;Dores no corpo;Manchas pelo corpo","Usar repelente;Tomar uma vacina","Não deixar água parada em garrafas, vasos de planta e pneus;Manter lixeiras tampadas e protegidas da chuva;Limpar as calhas;Descartar adequadamente objetos que acumulam água","Nunca tive dengue","5","2","Às vezes","Muito preocupado","Certamente tomaria"
"2024/03/14 8:04:58 PM GMT-3","36","Masculino","Médio completo","Trabalho;Estudo","11 ou mais salários mínimos","Nenhuma","Sim","SC","Joinville","Costa e Silva ","Apartamento","2","Mídia tradicional (TV, rádio, jornal)","Vírus","Picada do mosquito Aedes Aegypt","Febre;Dores no corpo;Manchas pelo corpo","Usar repelente;Tomar uma vacina","Não deixar água parada em garrafas, vasos de planta e pneus;Manter lixeiras tampadas e protegidas da chuva;Retirar água de plantas que acumulam água, como as bromélias;Limpar as calhas;Descartar adequadamente objetos que acumulam água","Nunca tive dengue","3","3","Às vezes","Moderadamente preocupado","Talvez tomaria"
"2024/03/14 8:05:19 PM GMT-3","39","Feminino","Superior completo","Estudo","1 a 3 salários mínimos","Duas","Sim","Santa Catarina ","Joinville ","Itinga ","Casa","4","Profissionais de saúde","Parasita","Picada do mosquito Aedes Aegypt","Febre;Dores no corpo;Manchas pelo corpo","Usar repelente;Tomar uma vacina","Não deixar água parada em garrafas, vasos de planta e pneus;Manter lixeiras tampadas e protegidas da chuva;Retirar água de plantas que acumulam água, como as bromélias;Limpar as calhas;Descartar adequadamente objetos que acumulam água","Pouco satisfatório","1","1","Sempre","Muito preocupado","Certamente tomaria"
"2024/03/14 8:07:01 PM GMT-3","17","Feminino","Fundamental completo","Estudo","Prefiro não informar","Uma","Sim","Santa Catarina ","Joinville ","Fátima ","Casa","3","Mídia tradicional (TV, rádio, jornal)","Vírus","Picada do mosquito Aedes Aegypt","Febre;Dores no corpo;Manchas pelo corpo","Usar repelente;Tomar uma vacina","Não deixar água parada em garrafas, vasos de planta e pneus;Manter lixeiras tampadas e protegidas da chuva;Retirar água de plantas que acumulam água, como as bromélias;Limpar as calhas;Descartar adequadamente objetos que acumulam água","Insatisfatório","1","1","Frequentemente","Moderadamente preocupado","Certamente tomaria"
"2024/03/14 8:07:59 PM GMT-3","23","Masculino","Médio completo","Estudo","4 a 6 salários mínimos","Nenhuma","Sim","Roraima ","Boa vista ","Centenário ","Casa","3","Internet (redes sociais, sites oficiais)","Vírus","Picada do mosquito Aedes Aegypt","Febre;Dores no corpo;Manchas pelo corpo","Usar repelente;Tomar uma vacina","Não deixar água parada em garrafas, vasos de planta e pneus;Manter lixeiras tampadas e protegidas da chuva;Retirar água de plantas que acumulam água, como as bromélias;Limpar as calhas","Nunca tive dengue","4","1","Raramente","Pouco preocupado","Não tomaria"
"2024/03/14 8:08:32 PM GMT-3","31","Feminino","Médio completo","Trabalho","1 a 3 salários mínimos","Uma","Sim","Santa Catarina ","Joinville ","Petrópolis ","Casa","1","Internet (redes sociais, sites oficiais)","Vírus","Picada do mosquito Aedes Aegypt","Febre;Dores no corpo;Manchas pelo corpo","Usar repelente;Tomar uma vacina","Não deixar água parada em garrafas, vasos de planta e pneus;Manter lixeiras tampadas e protegidas da chuva;Retirar água de plantas que acumulam água, como as bromélias;Limpar as calhas;Descartar adequadamente objetos que acumulam água","Moderadamente satisfatório","5","2","Às vezes","Muito preocupado","Certamente tomaria"
"2024/03/14 8:09:21 PM GMT-3","42","Feminino","Médio completo","Trabalho","1 a 3 salários mínimos","Nenhuma","Sim","Santa catarins","Jounville","Jd iririu","Casa","4","Internet (redes sociais, sites oficiais)","Vírus","Picada do mosquito Aedes Aegypt","Dores no corpo","Usar repelente","Não deixar água parada em garrafas, vasos de planta e pneus;Manter lixeiras tampadas e protegidas da chuva;Retirar água de plantas que acumulam água, como as bromélias;Limpar as calhas;Descartar adequadamente objetos que acumulam água","Nunca tive dengue","3","1","Às vezes","Extremamente preocupado","Não tomaria"
